type,key,value,reliability,validity,details
ip_dependency_client,10.100.16.30,10.100.64.21,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:11""]","{""src"": ""dependency_mapping"", ""port"": ""443"", ""num_packets"": 20}"
ip_dependency_server,192.168.55.102,192.168.3.70,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 51}"
ip_dependency_client,192.168.3.70,192.168.55.102,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:16""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 51}"
ip_dependency_server,162.159.200.123,10.100.34.242,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.34.242,162.159.200.123,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,81.25.28.124,10.100.34.242,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.34.242,81.25.28.124,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,162.159.200.123,10.100.58.58,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.58.58,162.159.200.123,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:06""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,81.25.28.124,10.100.58.58,1,"[""2023-03-10 18:26:05"",""2023-03-10 18:26:05""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_client,10.100.58.58,81.25.28.124,1,"[""2023-03-10 18:26:05"",""2023-03-10 18:26:05""]","{""src"": ""dependency_mapping"", ""port"": ""123"", ""num_packets"": 8}"
ip_dependency_server,10.100.51.26,10.100.51.20,1,"[""2023-03-10 18:26:01"",""2023-03-10 18:26:11""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 20}"
ip_dependency_client,10.100.51.20,10.100.51.26,1,"[""2023-03-10 18:26:01"",""2023-03-10 18:26:11""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 20}"
ip_dependency_server,10.100.33.23,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_client,10.100.30.242,10.100.33.23,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_server,10.100.32.21,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_client,10.100.30.242,10.100.32.21,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_server,10.100.33.136,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_client,10.100.30.242,10.100.33.136,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_server,10.100.33.139,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_client,10.100.30.242,10.100.33.139,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""666"", ""num_packets"": 306}"
ip_dependency_server,10.100.33.21,10.100.30.242,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""667"", ""num_packets"": 279}"
ip_dependency_client,10.100.30.242,10.100.33.21,1,"[""2023-03-10 18:26:02"",""2023-03-10 18:26:02""]","{""src"": ""dependency_mapping"", ""port"": ""667"", ""num_packets"": 279}"
ip_dependency_server,10.100.40.21,10.100.40.24,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:11""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 30}"
ip_dependency_client,10.100.40.24,10.100.40.21,1,"[""2023-03-10 18:26:06"",""2023-03-10 18:26:11""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 30}"
ip_dependency_server,192.168.55.99,192.168.3.70,1,"[""2023-03-10 18:26:04"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 52}"
ip_dependency_client,192.168.3.70,192.168.55.99,1,"[""2023-03-10 18:26:04"",""2023-03-10 18:26:14""]","{""src"": ""dependency_mapping"", ""port"": ""9080"", ""num_packets"": 52}"
ip_dependency_server,10.100.40.24,10.100.40.21,1,"[""2023-03-10 18:26:03"",""2023-03-10 18:26:13""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 20}"
ip_dependency_client,10.100.40.21,10.100.40.24,1,"[""2023-03-10 18:26:03"",""2023-03-10 18:26:13""]","{""src"": ""dependency_mapping"", ""port"": ""2210"", ""num_packets"": 20}"
